"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jul 30 02:22:09 CST 2023","Sun Jul 30 02:22:09 CST 2023","1","testcase","test_pytest8","","","","test_case05[lisi-abc123]",""
"passed","Sun Jul 30 02:22:08 CST 2023","Sun Jul 30 02:22:08 CST 2023","0","testcase","test_pytest3","Test02","","","test_class02",""
"passed","Sun Jul 30 02:22:09 CST 2023","Sun Jul 30 02:22:09 CST 2023","0","testcase","test_pytest9","Test_description_02","","","test_link_testcase_issue_03",""
"passed","Sun Jul 30 02:22:09 CST 2023","Sun Jul 30 02:22:09 CST 2023","0","testcase","test_pytest9","Test_severity_01","","","test_severity_01",""
"passed","Sun Jul 30 02:22:02 CST 2023","Sun Jul 30 02:22:07 CST 2023","5159","testcase","test_pytest10","","","","test_baidu_login",""
"passed","Sun Jul 30 02:22:08 CST 2023","Sun Jul 30 02:22:08 CST 2023","1","testcase","test_pytest5","Testcase","","","test_02",""
"passed","Sun Jul 30 02:22:09 CST 2023","Sun Jul 30 02:22:09 CST 2023","0","testcase","test_pytest8","","","","test_09",""
"passed","Sun Jul 30 02:22:09 CST 2023","Sun Jul 30 02:22:09 CST 2023","0","testcase","test_pytest8","","","","test_mark[a-a]",""
"passed","Sun Jul 30 02:22:08 CST 2023","Sun Jul 30 02:22:08 CST 2023","0","testcase","test_pytest11","","","","test_case1[zhaoli]",""
"passed","Sun Jul 30 02:22:09 CST 2023","Sun Jul 30 02:22:09 CST 2023","2","testcase","test_pytest9","TestCart","","","test_add_cart01",""
"passed","Sun Jul 30 02:22:09 CST 2023","Sun Jul 30 02:22:09 CST 2023","0","testcase","test_pytest8","","","","test_08",""
"passed","Sun Jul 30 02:22:09 CST 2023","Sun Jul 30 02:22:09 CST 2023","1","testcase","test_pytest8","","","","test_indir[zhangsan]",""
"passed","Sun Jul 30 02:22:09 CST 2023","Sun Jul 30 02:22:09 CST 2023","1","testcase","test_pytest8","","","","test_case1[zhangsan]",""
"passed","Sun Jul 30 02:22:09 CST 2023","Sun Jul 30 02:22:09 CST 2023","0","testcase","test_pytest8","","","","test_case4[zhangsan-123456]",""
"passed","Sun Jul 30 02:22:08 CST 2023","Sun Jul 30 02:22:08 CST 2023","1","testcase","test_pytest5","","","","test_04",""
